ID,Theme,Area,Story,Acceptance notes,Technical notes,Phase,Depends on,Coach feedback
CX-001,Cross-cutting,Student profile,"As a student, I want my profile to show my current belt, stripes, and date of last grading, so I have an at-a-glance view of where I am.","Belt options: white/blue/purple/brown/black (coral colours optional); Stripes: 0-4; Last graded date is a single nullable date.","New columns on users table: belt (TEXT), stripes (INTEGER), last_graded_at (TIMESTAMP). Read-only for student; surface on profile header.",v1,,
CX-002,Cross-cutting,Student profile,"As a coach, I want to set and update a student's belt, stripes, and last grading date from their profile.",Setting belt or stripes does not auto-set last_graded_at; coach updates that explicitly when a grading happens.,Admin/coach-only mutation endpoint. Audit who set the rank if useful later.,v1,CX-001,
CX-003,Cross-cutting,Activity feed,"As a student or coach, I want the student profile to default-open on an activity feed showing the top-level items (techniques, camps, matches, profile threads) ordered by their most-recent activity.","Each top-level item appears at most once in the feed; multiple activities on the same item collapse into one row showing the latest one (e.g. ""Sam watched 'X-guard sweep' 2 hours ago""). Activity that bumps an item to the top includes: comments, replies, video uploads, video watches, status changes, pin events, new threads anchored to it. Rank changes are one-off feed items that don't dedupe. Default tab is Activity; other tabs (Syllabus / Pinned / Camps / My matches) sit alongside.","Per-(viewer, profile_owner) feed query joins activity events to their top-level item and returns one row per item with the latest-activity timestamp + preview. Watch events join via videos.parent_kind/parent_id (see technical notes section 1). See technical notes section 7 for the item taxonomy.",v1,,
CX-004,Cross-cutting,Activity feed,"As a student or coach, I want to filter the activity feed by item type (techniques / camps / matches / profile threads / one-off events like rank changes).","Chips at the top; multi-select OR semantics like existing tag chips on the syllabus view. ""One-off events"" filter covers things that don't dedupe (rank changes etc).",Server takes optional item_kind[] filter param; mirrors existing chip pattern on student-techniques page.,v1,CX-003,
CX-005,Cross-cutting,Activity feed,"As a student or coach, I want to search the activity feed by free text across technique names, camp details, and comment bodies.",Plain substring match is fine for v1; no fuzzy/typo tolerance needed.,"SQLite FTS5 over a denormalised search column, or simple LIKE if volume is small. Decide based on size.",v1 nice-to-have,CX-003,
CX-006,Cross-cutting,Threads,"As a student or coach, I want to start a thread on a student's profile to ask a question or kick off a conversation, not anchored to any video.","Body supports text, @-mentions, video reply attachments.",New thread entity. parent_kind=profile.,v1,,
CX-007,Cross-cutting,Threads,"As a student or coach, I want to reply to any thread inline.",Reply visibility inherits parent thread's visibility scope.,Comment table FK parent_thread_id and optional parent_comment_id.,v1,CX-006,
CX-008,Cross-cutting,Threads,"As a coach, I want to record a fresh video reply within a thread, OR upload a video I've already recorded.","Both flows land in the same reply slot in the thread. Recording uses the device camera; upload picks a file or comes from the device gallery.",Reply video uses the standard upload pipeline. Mark video as scope=thread to skip global promotion prompts.,v1,CX-007,
CX-009,Cross-cutting,Threads,"As a student with Footage Submitter permission, I want to record or upload a video reply within a thread.","Same constraints as CX-008. Without Footage Submitter, student can only reply with text.",Gated by new Permission::SubmitFootage.,v1,CX-008;CC-025,
CX-010,Cross-cutting,Threads,"As a coach or student, I want video replies to support text comments within the thread but not be able to spawn new top-level threads of their own.",Avoids endless reply chains. Video replies still support comments inside the parent thread.,Enforce at API: only original thread anchors accept new thread creation.,v1,CX-008,
CX-011,Cross-cutting,@-mentions,"As a coach or student, I want to @-mention a technique in a comment and have it inline as a tappable card.",Mention syntax in body; renders as card on display with name + description preview.,"Store mentions as structured tokens in body, e.g. {""type"":""technique"",""id"":42}, alongside plain text.",v1,,
CX-012,Cross-cutting,@-mentions,"As a coach or student, I want to @-mention a specific video (optionally at a timestamp) and have it inline as a playable card.","Picker is categorized so the author can find the video by where it lives: techniques in the library (with their attached videos), raw uploaded videos (loose / profile / camp), camp videos, match videos. Searchable by name/title.","Same structured-token storage. Video mention may include a timestamp_seconds field. Picker pulls from a unified video index across all parent kinds.",v1,CX-011,
CX-013,Cross-cutting,@-mentions,"As a coach, when I @-mention a video that's hidden from the recipient student (globally, or for them in their syllabus), I want the app to prompt me with the right unhide action before publishing.","Prompt copy varies by hide source. Globally hidden: ""This student can't see this video because it is hidden globally. Unhide globally?"" (affects every student). Hidden for them in their syllabus: ""This student can't see this video because it is hidden for them. Unhide for them?"" (only this student). Confirm performs the corresponding unhide; Cancel publishes the @-mention without acting (recipient sees a no-access card per CX-014).","Pre-publish check: query videos.hidden_at first, then the syllabus-scoped per-student visibility (CX-019). Branch the prompt on which is the blocker. If both apply, surface the global option first since it's the bigger lever.",v1,CX-012;CX-019,
CX-014,Cross-cutting,@-mentions,"As a student, when I @-mention a video I can't personally see, the mention is published without granting me visibility.","Asymmetric by design: students don't auto-grant themselves access. May rarely trigger in practice, but included for exhaustive coverage.",Skip the visibility-grant prompt for student authors.,v1 nice-to-have,CX-013,
CX-015,Cross-cutting,Activity feed,"As any coach, I want to view the activity feed of any student in the gym.",No per-coach gating in v1; substitute teaching makes per-coach scoping noisy.,Coach role has read-all on student activity. Revisit if we add multi-tenancy.,v1,CX-003,
CX-016,Cross-cutting,Reactions,"As a coach or student, I want to add emoji reactions (e.g. 👍 ✅ 🔥) to a comment, thread, or video reply.",Multiple emoji choices; reactions visible to everyone who can see the parent.,New reactions table. Defer until v1 ships and we see if friction is real.,phase-2,CX-007,
CX-017,Cross-cutting,Privacy,"As a student, I want to opt out of letting coaches see my video watch activity.",Default is opt-in (visible to coaches). Toggle on profile.,Add opt_out flag on users. Filter watch event aggregates in coach-facing queries when set.,phase-2,,
CX-018,Cross-cutting,Promotion workflows,"As a coach, I want to upload a video unattached to anything (loose) and later attach it to a camp / technique / match.","Loose videos surface as suggestions in the categorized picker (CX-012) and in promotion flows. Coach can filter/search by what they remember (date uploaded, who uploaded, body of any associated thread).","video.parent_kind nullable; promotion endpoint sets parent_kind + parent_id later. Loose video index needs metadata good enough for context-driven search.",v1,,
CX-019,Cross-cutting,Visibility model,"As a coach, I want per-student video visibility overrides to be context-scoped (the syllabus has its own override layer, each camp has its own override layer), so that hiding a video for a student in one context doesn't ripple into other contexts.","Library browse: only global hide applies; no per-student overrides. Syllabus view: global hide + the syllabus-scoped per-student override layer. Each camp view: global hide + that camp's per-student override layer (see CC-015). The same student can have a video hidden in their syllabus but visible inside a camp, and vice versa.","Refactor: today's video_student_visibility becomes the syllabus-scoped layer (rename + constrain query usage to syllabus context). camp_video_visibility (CC-015) is the camp-scoped layer. Library / thread / pinned contexts query only videos.hidden_at.",v1,,
CX-020,Cross-cutting,Syllabus view,"As a student or coach, I want the syllabus to live in its own dedicated tab on the student profile (with its own status / attempts / notes), not be the default mixed view.","Syllabus becomes one tab among Activity / Syllabus / Pinned / Camps. The current default-landing-on-technique-list behaviour moves to the Syllabus tab.","Move existing student-techniques page to a tab. Activity feed becomes the default. Existing deep-link routes (e.g. /student/<id>?focus=) still work, just land on the Syllabus tab.",v1,CX-003,
